entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,result,risk_pts,month
2025-01-08 01:40:00+00:00,2025-01-08 01:50:00+00:00,SELL,96749.0,96849.0,96599.0,96599.0,150.0,TP,100.0,2025-01
2025-01-08 03:40:00+00:00,2025-01-08 03:45:00+00:00,SELL,96412.0,96512.0,96262.0,96262.0,150.0,TP,100.0,2025-01
2025-01-08 08:15:00+00:00,2025-01-08 08:30:00+00:00,BUY,95769.0,95669.0,95919.0,95919.0,150.0,TP,100.0,2025-01
2025-01-08 10:25:00+00:00,2025-01-08 10:30:00+00:00,BUY,95784.5,95684.5,95934.5,95684.5,-100.0,SL,100.0,2025-01
2025-01-08 11:10:00+00:00,2025-01-08 11:25:00+00:00,SELL,95679.0,95779.0,95529.0,95529.0,150.0,TP,100.0,2025-01
2025-01-08 13:00:00+00:00,2025-01-08 13:05:00+00:00,BUY,95292.5,95192.5,95442.5,95192.5,-100.0,SL,100.0,2025-01
2025-01-08 14:10:00+00:00,2025-01-08 14:15:00+00:00,SELL,95161.0,95261.0,95011.0,95261.0,-100.0,SL,100.0,2025-01
2025-01-08 15:15:00+00:00,2025-01-08 15:20:00+00:00,SELL,95032.0,95132.0,94882.0,95132.0,-100.0,SL,100.0,2025-01
2025-01-08 16:40:00+00:00,2025-01-08 16:45:00+00:00,SELL,94681.5,94781.5,94531.5,94781.5,-100.0,SL,100.0,2025-01
2025-01-08 18:40:00+00:00,2025-01-08 18:45:00+00:00,SELL,94303.0,94403.0,94153.0,94153.0,150.0,TP,100.0,2025-01
2025-01-08 19:35:00+00:00,2025-01-08 19:40:00+00:00,SELL,94243.0,94343.0,94093.0,94093.0,150.0,TP,100.0,2025-01
2025-01-09 00:05:00+00:00,2025-01-09 00:15:00+00:00,SELL,94920.5,95020.5,94770.5,95020.5,-100.0,SL,100.0,2025-01
2025-01-09 00:45:00+00:00,2025-01-09 01:10:00+00:00,BUY,95051.5,94951.5,95201.5,94951.5,-100.0,SL,100.0,2025-01
